[ 06:56:56 ]BEB2 :24 [°C], 76.16 RH, 0.9244 bar
[ 08:10:36 ]CCCC :30 [°C], 60.94 RH, 0.9244 bar

[ 08:10:39 ]CCCC :30 [°C], 60.94 RH, 0.9232 bar

[ 08:10:39 ]CECE :30 [°C], 64.36 RH, 0.9219 bar

[ 08:10:39 ]EEEE :29 [°C], 64.43 RH, 0.9238 bar

[ 08:10:39 ]DAD1 :29 [°C], 63.92 RH, 0.9238 bar

[ 08:10:45 ]EEEE :29 [°C], 64.49 RH, 0.9225 bar

[ 08:10:45 ]DAD1 :29 [°C], 63.95 RH, 0.9238 bar

[ 08:10:45 ]CECE :30 [°C], 64.36 RH, 0.9232 bar

[ 08:10:45 ]CCCC :30 [°C], 61.00 RH, 0.9238 bar

[ 08:10:48 ]CECE :30 [°C], 64.33 RH, 0.9238 bar

[ 08:10:48 ]EEEE :29 [°C], 64.55 RH, 0.9238 bar

[ 08:10:48 ]CCCC :30 [°C], 60.94 RH, 0.9232 bar

[ 08:10:48 ]DAD1 :29 [°C], 63.95 RH, 0.9225 bar

[ 08:10:48 ]BEB2 :26 [°C], 72.83 RH, 0.9244 bar

[ 08:10:51 ]CECE :30 [°C], 64.36 RH, 0.9238 bar

[ 08:10:51 ]EEEE :29 [°C], 64.58 RH, 0.9238 bar

[ 08:10:51 ]BEB2 :26 [°C], 72.83 RH, 0.9244 bar

[ 08:10:51 ]DAD1 :29 [°C], 63.95 RH, 0.9238 bar

[ 08:10:51 ]CCCC :30 [°C], 60.94 RH, 0.9232 bar

[ 08:11:00 ]DAD1 :29 [°C], 63.92 RH, 0.9232 bar

[ 08:11:00 ]CCCC :30 [°C], 60.97 RH, 0.9232 bar

[ 08:11:00 ]BEB2 :26 [°C], 72.86 RH, 0.9238 bar

[ 08:11:00 ]CECE :30 [°C], 64.36 RH, 0.9232 bar

[ 08:11:00 ]EEEE :29 [°C], 64.67 RH, 0.9238 bar

[ 08:11:03 ]CECE :30 [°C], 64.36 RH, 0.9232 bar

[ 08:11:03 ]CCCC :30 [°C], 60.97 RH, 0.9238 bar

[ 08:11:03 ]EEEE :29 [°C], 64.73 RH, 0.9238 bar

[ 08:11:03 ]DAD1 :29 [°C], 63.92 RH, 0.9244 bar

[ 08:11:03 ]BEB2 :26 [°C], 72.86 RH, 0.9244 bar

[ 08:11:09 ]CECE :30 [°C], 64.36 RH, 0.9238 bar

[ 08:11:09 ]DAD1 :29 [°C], 63.92 RH, 0.9244 bar

[ 08:11:09 ]BEB2 :26 [°C], 72.80 RH, 0.9244 bar

[ 08:11:09 ]EEEE :29 [°C], 64.82 RH, 0.9238 bar

[ 08:11:12 ]CCCC :30 [°C], 60.97 RH, 0.9251 bar

[ 08:11:12 ]BEB2 :26 [°C], 72.80 RH, 0.9244 bar

[ 08:11:12 ]DAD1 :29 [°C], 63.90 RH, 0.9225 bar

[ 08:11:12 ]EEEE :29 [°C], 64.88 RH, 0.9238 bar

[ 08:11:12 ]CECE :30 [°C], 64.36 RH, 0.9232 bar

[ 08:11:15 ]EEEE :29 [°C], 64.94 RH, 0.9238 bar

[ 08:11:15 ]CECE :30 [°C], 64.36 RH, 0.9238 bar

[ 08:11:15 ]DAD1 :29 [°C], 63.84 RH, 0.9238 bar

[ 08:11:15 ]CCCC :30 [°C], 60.94 RH, 0.9238 bar

[ 08:11:15 ]BEB2 :26 [°C], 72.76 RH, 0.9244 bar

[ 08:11:18 ]CECE :30 [°C], 64.36 RH, 0.9238 bar

[ 08:11:18 ]EEEE :29 [°C], 65.08 RH, 0.9238 bar

[ 08:11:18 ]DAD1 :29 [°C], 63.81 RH, 0.9238 bar

[ 08:11:18 ]BEB2 :26 [°C], 72.76 RH, 0.9238 bar

[ 08:11:18 ]CCCC :30 [°C], 60.91 RH, 0.9251 bar

[ 08:11:21 ]CECE :30 [°C], 64.39 RH, 0.9238 bar

[ 08:11:21 ]CCCC :30 [°C], 60.91 RH, 0.9238 bar

[ 08:11:21 ]BEB2 :26 [°C], 72.76 RH, 0.9244 bar

[ 08:11:21 ]DAD1 :29 [°C], 63.79 RH, 0.9257 bar

[ 08:11:22 ]EEEE :29 [°C], 65.27 RH, 0.9232 bar

[ 08:11:27 ]EEEE :29 [°C], 65.41 RH, 0.9232 bar

[ 08:11:27 ]DAD1 :29 [°C], 63.76 RH, 0.9225 bar

[ 08:11:27 ]BEB2 :26 [°C], 72.80 RH, 0.9251 bar

[ 08:11:27 ]CECE :30 [°C], 64.42 RH, 0.9238 bar

[ 08:11:30 ]CCCC :30 [°C], 60.88 RH, 0.9238 bar

[ 08:11:30 ]BEB2 :26 [°C], 72.77 RH, 0.9238 bar

[ 08:11:30 ]CECE :30 [°C], 64.42 RH, 0.9238 bar

[ 08:11:30 ]EEEE :29 [°C], 65.50 RH, 0.9232 bar

[ 08:11:30 ]DAD1 :29 [°C], 63.79 RH, 0.9257 bar

[ 08:11:33 ]CCCC :30 [°C], 60.85 RH, 0.9219 bar

[ 08:11:33 ]DAD1 :29 [°C], 63.81 RH, 0.9232 bar

[ 08:11:34 ]EEEE :29 [°C], 65.59 RH, 0.9238 bar

[ 08:11:34 ]CECE :30 [°C], 64.45 RH, 0.9251 bar

[ 08:11:34 ]BEB2 :26 [°C], 72.77 RH, 0.9251 bar

[ 08:11:36 ]CCCC :30 [°C], 60.88 RH, 0.9251 bar

[ 08:11:36 ]CECE :30 [°C], 64.48 RH, 0.9219 bar

[ 08:11:37 ]BEB2 :26 [°C], 72.70 RH, 0.9238 bar

[ 08:11:37 ]DAD1 :29 [°C], 63.81 RH, 0.9232 bar

[ 08:11:37 ]EEEE :29 [°C], 65.65 RH, 0.9238 bar

[ 08:11:42 ]EEEE :29 [°C], 65.71 RH, 0.9232 bar

[ 08:11:43 ]BEB2 :26 [°C], 72.61 RH, 0.9238 bar

[ 08:11:43 ]CCCC :30 [°C], 60.88 RH, 0.9232 bar

[ 08:11:43 ]DAD1 :29 [°C], 63.76 RH, 0.9232 bar

[ 08:11:49 ]CCCC :30 [°C], 60.88 RH, 0.9238 bar

[ 08:11:49 ]DAD1 :29 [°C], 63.70 RH, 0.9225 bar

[ 08:11:49 ]CECE :30 [°C], 64.54 RH, 0.9225 bar

[ 08:11:49 ]EEEE :29 [°C], 65.73 RH, 0.9238 bar

[ 08:11:49 ]BEB2 :26 [°C], 72.52 RH, 0.9257 bar

[ 08:11:52 ]BEB2 :27 [°C], 72.49 RH, 0.9238 bar

[ 08:11:52 ]CECE :30 [°C], 64.54 RH, 0.9238 bar

[ 08:11:52 ]DAD1 :29 [°C], 63.70 RH, 0.9232 bar

[ 08:11:52 ]EEEE :29 [°C], 65.73 RH, 0.9238 bar

[ 08:11:52 ]CCCC :30 [°C], 60.91 RH, 0.9238 bar

[ 08:11:55 ]BEB2 :27 [°C], 72.45 RH, 0.9244 bar

[ 08:11:55 ]DAD1 :29 [°C], 63.67 RH, 0.9232 bar

[ 08:11:55 ]CCCC :30 [°C], 60.91 RH, 0.9238 bar

[ 08:11:55 ]EEEE :29 [°C], 65.76 RH, 0.9232 bar

[ 08:11:55 ]CECE :30 [°C], 64.51 RH, 0.9238 bar

[ 08:11:58 ]CECE :30 [°C], 64.48 RH, 0.9238 bar

[ 08:11:58 ]DAD1 :29 [°C], 63.67 RH, 0.9232 bar

[ 08:11:58 ]EEEE :29 [°C], 65.70 RH, 0.9238 bar

[ 08:11:58 ]BEB2 :27 [°C], 72.36 RH, 0.9244 bar

[ 08:12:04 ]CECE :30 [°C], 64.42 RH, 0.9238 bar

[ 08:12:04 ]CCCC :30 [°C], 60.94 RH, 0.9238 bar

[ 08:12:04 ]EEEE :29 [°C], 65.76 RH, 0.9232 bar

[ 08:12:04 ]DAD1 :29 [°C], 63.66 RH, 0.9232 bar

[ 08:12:04 ]BEB2 :27 [°C], 72.16 RH, 0.9238 bar

[ 08:12:13 ]BEB2 :27 [°C], 71.98 RH, 0.9257 bar

[ 08:12:13 ]CCCC :30 [°C], 60.97 RH, 0.9232 bar

[ 08:12:13 ]EEEE :29 [°C], 65.85 RH, 0.9232 bar

[ 08:12:13 ]DAD1 :29 [°C], 63.66 RH, 0.9225 bar

[ 08:12:22 ]EEEE :29 [°C], 66.24 RH, 0.9232 bar

[ 08:12:22 ]BEB2 :27 [°C], 71.88 RH, 0.9244 bar

[ 08:12:22 ]CCCC :30 [°C], 61.00 RH, 0.9238 bar

[ 08:12:22 ]DAD1 :29 [°C], 63.66 RH, 0.9232 bar

[ 08:12:28 ]DAD1 :29 [°C], 63.69 RH, 0.9238 bar

[ 08:12:28 ]BEB2 :27 [°C], 71.78 RH, 0.9244 bar

[ 08:12:28 ]EEEE :29 [°C], 66.39 RH, 0.9232 bar

[ 08:12:28 ]CCCC :30 [°C], 61.00 RH, 0.9251 bar

[ 08:12:31 ]DAD1 :30 [°C], 63.71 RH, 0.9232 bar

[ 08:12:31 ]BEB2 :27 [°C], 71.76 RH, 0.9238 bar

[ 08:12:31 ]EEEE :29 [°C], 66.41 RH, 0.9232 bar

[ 08:12:31 ]CCCC :30 [°C], 60.97 RH, 0.9225 bar

[ 08:12:41 ]DAD1 :30 [°C], 63.69 RH, 0.9232 bar

[ 08:12:41 ]CCCC :30 [°C], 60.92 RH, 0.9238 bar

[ 08:12:41 ]EEEE :29 [°C], 66.35 RH, 0.9232 bar

[ 08:12:41 ]BEB2 :27 [°C], 71.57 RH, 0.9238 bar

[ 08:12:44 ]EEEE :29 [°C], 66.38 RH, 0.9232 bar

[ 08:12:44 ]BEB2 :27 [°C], 71.51 RH, 0.9244 bar

[ 08:12:44 ]CCCC :30 [°C], 60.92 RH, 0.9238 bar

[ 08:12:44 ]DAD1 :30 [°C], 63.69 RH, 0.9232 bar

[ 08:12:50 ]CCCC :30 [°C], 60.92 RH, 0.9238 bar

[ 08:12:50 ]DAD1 :30 [°C], 63.66 RH, 0.9251 bar

[ 08:12:50 ]BEB2 :27 [°C], 71.34 RH, 0.9238 bar

[ 08:12:50 ]EEEE :29 [°C], 66.50 RH, 0.9244 bar

[ 08:12:56 ]BEB2 :27 [°C], 71.19 RH, 0.9251 bar

[ 08:12:56 ]EEEE :29 [°C], 66.62 RH, 0.9232 bar

[ 08:12:56 ]CCCC :30 [°C], 60.89 RH, 0.9238 bar

[ 08:12:56 ]DAD1 :30 [°C], 63.66 RH, 0.9232 bar

[ 08:12:59 ]CCCC :30 [°C], 60.86 RH, 0.9238 bar

[ 08:12:59 ]DAD1 :30 [°C], 63.63 RH, 0.9232 bar

[ 08:12:59 ]EEEE :29 [°C], 66.67 RH, 0.9225 bar

[ 08:12:59 ]BEB2 :27 [°C], 71.06 RH, 0.9238 bar

[ 08:13:02 ]CCCC :30 [°C], 60.83 RH, 0.9238 bar

[ 08:13:02 ]BEB2 :27 [°C], 70.97 RH, 0.9244 bar

[ 08:13:02 ]DAD1 :30 [°C], 63.60 RH, 0.9232 bar

[ 08:13:05 ]CCCC :30 [°C], 60.86 RH, 0.9232 bar

[ 08:13:05 ]BEB2 :27 [°C], 70.87 RH, 0.9238 bar

[ 08:13:05 ]DAD1 :30 [°C], 63.60 RH, 0.9225 bar

[ 08:13:14 ]EEEE :29 [°C], 67.01 RH, 0.9238 bar

[ 08:13:14 ]CCCC :30 [°C], 60.86 RH, 0.9238 bar

[ 08:13:14 ]DAD1 :30 [°C], 63.54 RH, 0.9238 bar

[ 08:13:14 ]BEB2 :27 [°C], 70.68 RH, 0.9244 bar

[ 08:13:17 ]CCCC :30 [°C], 60.89 RH, 0.9232 bar

[ 08:13:17 ]EEEE :29 [°C], 67.23 RH, 0.9225 bar

[ 08:13:17 ]DAD1 :30 [°C], 63.51 RH, 0.9232 bar

[ 08:13:17 ]BEB2 :27 [°C], 70.65 RH, 0.9244 bar

[ 08:13:23 ]DAD1 :30 [°C], 63.49 RH, 0.9238 bar

[ 08:13:23 ]EEEE :29 [°C], 67.31 RH, 0.9225 bar

[ 08:13:23 ]CCCC :30 [°C], 60.94 RH, 0.9238 bar

[ 08:13:24 ]BEB2 :27 [°C], 70.55 RH, 0.9244 bar

[ 08:13:26 ]CCCC :30 [°C], 60.91 RH, 0.9238 bar

[ 08:13:26 ]EEEE :29 [°C], 67.34 RH, 0.9232 bar

[ 08:13:26 ]BEB2 :27 [°C], 70.49 RH, 0.9244 bar

[ 08:13:27 ]DAD1 :30 [°C], 63.49 RH, 0.9232 bar

[ 08:13:29 ]DAD1 :30 [°C], 63.46 RH, 0.9232 bar

[ 08:13:29 ]EEEE :29 [°C], 67.34 RH, 0.9238 bar

[ 08:13:30 ]CCCC :30 [°C], 60.97 RH, 0.9238 bar

[ 08:13:30 ]BEB2 :27 [°C], 70.39 RH, 0.9244 bar

[ 08:13:32 ]BEB2 :27 [°C], 70.36 RH, 0.9244 bar

[ 08:13:32 ]CCCC :30 [°C], 61.00 RH, 0.9238 bar

[ 08:13:33 ]DAD1 :30 [°C], 63.49 RH, 0.9232 bar

[ 08:13:33 ]EEEE :28 [°C], 67.28 RH, 0.9232 bar

[ 08:13:39 ]EEEE :28 [°C], 67.14 RH, 0.9219 bar

[ 08:13:39 ]CCCC :30 [°C], 60.94 RH, 0.9238 bar

[ 08:13:39 ]DAD1 :30 [°C], 63.54 RH, 0.9251 bar

[ 08:13:39 ]BEB2 :27 [°C], 70.30 RH, 0.9251 bar

[ 08:13:42 ]BEB2 :27 [°C], 70.24 RH, 0.9244 bar

[ 08:13:42 ]CCCC :30 [°C], 60.83 RH, 0.9232 bar

[ 08:13:42 ]CECE :29 [°C], 65.60 RH, 0.9225 bar

[ 08:13:42 ]DAD1 :30 [°C], 63.54 RH, 0.9251 bar

[ 08:13:42 ]EEEE :28 [°C], 67.06 RH, 0.9238 bar

[ 08:13:45 ]EEEE :28 [°C], 67.09 RH, 0.9225 bar

[ 08:13:45 ]CECE :29 [°C], 65.77 RH, 0.9225 bar

[ 08:13:45 ]DAD1 :30 [°C], 63.54 RH, 0.9238 bar

[ 08:13:45 ]BEB2 :27 [°C], 70.14 RH, 0.9244 bar

[ 08:13:48 ]CECE :29 [°C], 65.95 RH, 0.9225 bar

[ 08:13:48 ]DAD1 :30 [°C], 63.54 RH, 0.9238 bar

[ 08:13:48 ]EEEE :28 [°C], 67.11 RH, 0.9232 bar

[ 08:13:48 ]CCCC :30 [°C], 60.64 RH, 0.9238 bar

[ 08:13:48 ]BEB2 :27 [°C], 70.01 RH, 0.9244 bar

[ 08:13:51 ]CECE :29 [°C], 66.04 RH, 0.9238 bar

[ 08:13:51 ]CCCC :30 [°C], 60.67 RH, 0.9238 bar

[ 08:13:51 ]EEEE :28 [°C], 67.11 RH, 0.9232 bar

[ 08:13:51 ]BEB2 :27 [°C], 69.92 RH, 0.9244 bar

[ 08:13:52 ]DAD1 :30 [°C], 63.57 RH, 0.9232 bar

[ 08:13:54 ]CECE :29 [°C], 66.07 RH, 0.9238 bar

[ 08:13:54 ]EEEE :28 [°C], 67.17 RH, 0.9219 bar

[ 08:13:54 ]BEB2 :27 [°C], 69.79 RH, 0.9238 bar

[ 08:13:54 ]CCCC :30 [°C], 60.64 RH, 0.9238 bar

[ 08:13:55 ]DAD1 :30 [°C], 63.51 RH, 0.9238 bar

[ 08:14:53 ]CECE :29 [°C], 66.16 RH, 0.9251 bar

[ 08:14:53 ]DAD1 :30 [°C], 63.40 RH, 0.9238 bar

[ 08:14:53 ]EEEE :28 [°C], 67.42 RH, 0.9232 bar

[ 08:14:53 ]CCCC :30 [°C], 60.35 RH, 0.9232 bar

[ 08:14:53 ]BEB2 :28 [°C], 68.81 RH, 0.9244 bar

[ 08:14:56 ]CECE :29 [°C], 66.13 RH, 0.9251 bar

[ 08:14:56 ]EEEE :28 [°C], 67.45 RH, 0.9244 bar

[ 08:14:56 ]DAD1 :30 [°C], 63.40 RH, 0.9232 bar

[ 08:14:56 ]CCCC :30 [°C], 60.32 RH, 0.9238 bar

[ 08:14:57 ]BEB2 :28 [°C], 68.78 RH, 0.9251 bar

[ 08:14:59 ]CECE :29 [°C], 66.13 RH, 0.9251 bar

[ 08:14:59 ]CCCC :30 [°C], 60.32 RH, 0.9238 bar

[ 08:14:59 ]EEEE :28 [°C], 67.42 RH, 0.9244 bar

[ 08:14:59 ]BEB2 :28 [°C], 68.75 RH, 0.9232 bar

[ 08:15:00 ]DAD1 :30 [°C], 63.38 RH, 0.9244 bar

[ 08:15:02 ]CECE :29 [°C], 66.10 RH, 0.9232 bar

[ 08:15:02 ]BEB2 :28 [°C], 68.69 RH, 0.9232 bar

[ 08:15:02 ]CCCC :30 [°C], 60.32 RH, 0.9238 bar

[ 08:15:02 ]EEEE :28 [°C], 67.42 RH, 0.9232 bar

[ 08:15:02 ]DAD1 :30 [°C], 63.38 RH, 0.9238 bar

[ 08:15:05 ]CECE :29 [°C], 66.07 RH, 0.9238 bar

[ 08:15:05 ]DAD1 :30 [°C], 63.35 RH, 0.9238 bar

[ 08:15:05 ]EEEE :28 [°C], 67.42 RH, 0.9244 bar

[ 08:15:06 ]CCCC :30 [°C], 60.32 RH, 0.9244 bar

[ 08:15:06 ]BEB2 :28 [°C], 68.62 RH, 0.9232 bar

[ 08:15:08 ]CCCC :30 [°C], 60.29 RH, 0.9244 bar

[ 08:15:08 ]BEB2 :28 [°C], 68.52 RH, 0.9244 bar

[ 08:15:08 ]DAD1 :30 [°C], 63.35 RH, 0.9251 bar

[ 08:15:09 ]CECE :29 [°C], 66.04 RH, 0.9238 bar

[ 08:15:09 ]EEEE :28 [°C], 67.45 RH, 0.9244 bar

[ 08:15:15 ]CECE :29 [°C], 66.01 RH, 0.9232 bar

[ 08:15:15 ]CCCC :30 [°C], 60.29 RH, 0.9238 bar

[ 08:15:15 ]DAD1 :30 [°C], 63.30 RH, 0.9238 bar

[ 08:15:15 ]EEEE :28 [°C], 67.53 RH, 0.9238 bar

[ 08:15:15 ]BEB2 :28 [°C], 68.39 RH, 0.9232 bar

[ 08:15:18 ]DAD1 :30 [°C], 63.27 RH, 0.9238 bar

[ 08:15:18 ]CCCC :30 [°C], 60.29 RH, 0.9232 bar

[ 08:15:18 ]BEB2 :28 [°C], 68.36 RH, 0.9244 bar

[ 08:15:18 ]EEEE :28 [°C], 67.53 RH, 0.9232 bar

[ 08:15:21 ]BEB2 :28 [°C], 68.30 RH, 0.9232 bar

[ 08:15:21 ]CCCC :30 [°C], 60.29 RH, 0.9244 bar

[ 08:15:21 ]CECE :29 [°C], 65.95 RH, 0.9238 bar

[ 08:15:21 ]DAD1 :30 [°C], 63.21 RH, 0.9232 bar

[ 08:15:24 ]BEB2 :28 [°C], 68.26 RH, 0.9232 bar

[ 08:15:24 ]CECE :29 [°C], 65.92 RH, 0.9225 bar

[ 08:15:24 ]DAD1 :30 [°C], 63.21 RH, 0.9232 bar

[ 08:15:24 ]CCCC :30 [°C], 60.32 RH, 0.9238 bar

[ 08:15:24 ]EEEE :28 [°C], 70.10 RH, 0.9232 bar

[ 08:15:30 ]CECE :29 [°C], 65.92 RH, 0.9238 bar

[ 08:15:30 ]BEB2 :28 [°C], 68.14 RH, 0.9238 bar

[ 08:15:30 ]CCCC :30 [°C], 60.29 RH, 0.9232 bar

[ 08:15:33 ]CCCC :30 [°C], 60.29 RH, 0.9244 bar

[ 08:15:33 ]BEB2 :28 [°C], 68.10 RH, 0.9244 bar

[ 08:15:33 ]EEEE :28 [°C], 75.97 RH, 0.9225 bar

[ 08:15:33 ]DAD1 :30 [°C], 63.12 RH, 0.9238 bar

[ 08:15:33 ]CECE :29 [°C], 65.92 RH, 0.9238 bar

[ 08:15:36 ]EEEE :28 [°C], 77.56 RH, 0.9251 bar

[ 08:15:36 ]DAD1 :30 [°C], 63.12 RH, 0.9238 bar

[ 08:15:36 ]CCCC :30 [°C], 60.29 RH, 0.9232 bar

[ 08:15:36 ]BEB2 :28 [°C], 68.09 RH, 0.9232 bar

[ 08:15:36 ]CECE :29 [°C], 65.92 RH, 0.9251 bar

[ 08:15:42 ]CECE :29 [°C], 65.92 RH, 0.9225 bar

[ 08:15:42 ]DAD1 :30 [°C], 63.09 RH, 0.9238 bar

[ 08:15:42 ]CCCC :30 [°C], 60.26 RH, 0.9238 bar

[ 08:15:42 ]BEB2 :28 [°C], 67.93 RH, 0.9232 bar

[ 08:15:43 ]EEEE :29 [°C], 80.17 RH, 0.9238 bar

[ 08:15:45 ]CECE :29 [°C], 65.90 RH, 0.9225 bar

[ 08:15:45 ]DAD1 :30 [°C], 63.09 RH, 0.9238 bar

[ 08:15:45 ]BEB2 :28 [°C], 67.86 RH, 0.9244 bar

[ 08:15:45 ]CCCC :30 [°C], 60.26 RH, 0.9244 bar

[ 08:15:48 ]CCCC :30 [°C], 60.26 RH, 0.9244 bar

[ 08:15:48 ]EEEE :29 [°C], 81.23 RH, 0.9225 bar

[ 08:15:48 ]DAD1 :30 [°C], 63.09 RH, 0.9232 bar

[ 08:15:48 ]BEB2 :28 [°C], 67.86 RH, 0.9244 bar

[ 08:15:48 ]CECE :29 [°C], 65.87 RH, 0.9232 bar

[ 08:15:52 ]CECE :29 [°C], 65.81 RH, 0.9225 bar

[ 08:15:52 ]CCCC :30 [°C], 60.20 RH, 0.9232 bar

[ 08:15:52 ]DAD1 :30 [°C], 63.09 RH, 0.9225 bar

[ 08:15:52 ]BEB2 :28 [°C], 67.83 RH, 0.9244 bar

[ 08:15:52 ]EEEE :29 [°C], 78.88 RH, 0.9251 bar

[ 08:15:55 ]CECE :29 [°C], 65.78 RH, 0.9238 bar

[ 08:15:55 ]DAD1 :30 [°C], 63.12 RH, 0.9238 bar

[ 08:15:55 ]BEB2 :28 [°C], 67.83 RH, 0.9244 bar

[ 08:15:55 ]EEEE :28 [°C], 74.40 RH, 0.9225 bar

[ 08:15:55 ]CCCC :30 [°C], 60.17 RH, 0.9251 bar

[ 08:15:58 ]CCCC :30 [°C], 60.17 RH, 0.9244 bar

[ 08:15:58 ]BEB2 :28 [°C], 67.83 RH, 0.9238 bar

[ 08:15:58 ]CECE :29 [°C], 65.75 RH, 0.9225 bar

[ 08:15:58 ]EEEE :29 [°C], 71.35 RH, 0.9238 bar

