[ 22:40:05 ]CECE :30 [°C], 69.96 RH, 0.9416 bar
[ 22:40:42 ]EEEE :33 [°C], 63.61 RH, 0.9397 bar

[ 22:40:42 ]DAD1 :30 [°C], 67.36 RH, 0.9391 bar

[ 22:40:45 ]CCCC :30 [°C], 66.48 RH, 0.9403 bar

[ 22:40:45 ]CECE :30 [°C], 69.17 RH, 0.9378 bar

[ 22:40:45 ]DAD1 :30 [°C], 67.34 RH, 0.9403 bar

[ 22:40:46 ]EEEE :33 [°C], 63.52 RH, 0.9397 bar

[ 22:40:46 ]BEB2 :28 [°C], 76.74 RH, 0.9403 bar

[ 22:40:48 ]EEEE :33 [°C], 63.52 RH, 0.9397 bar

[ 22:40:48 ]BEB2 :28 [°C], 76.61 RH, 0.9403 bar

[ 22:40:48 ]CECE :30 [°C], 69.09 RH, 0.9391 bar

[ 22:40:48 ]DAD1 :30 [°C], 67.28 RH, 0.9391 bar

[ 22:40:48 ]CCCC :30 [°C], 66.40 RH, 0.9403 bar

[ 22:41:18 ]DAD1 :30 [°C], 66.81 RH, 0.9391 bar

[ 22:41:18 ]BEB2 :28 [°C], 75.75 RH, 0.9410 bar

[ 22:41:18 ]CCCC :30 [°C], 65.83 RH, 0.9403 bar

[ 22:41:18 ]EEEE :33 [°C], 63.11 RH, 0.9403 bar

[ 22:41:18 ]CECE :30 [°C], 68.68 RH, 0.9403 bar

[ 22:41:24 ]CCCC :30 [°C], 65.71 RH, 0.9410 bar

[ 22:41:24 ]BEB2 :28 [°C], 75.33 RH, 0.9397 bar

[ 22:41:24 ]EEEE :33 [°C], 63.08 RH, 0.9403 bar

[ 22:41:24 ]CECE :30 [°C], 68.56 RH, 0.9397 bar

[ 22:41:24 ]DAD1 :30 [°C], 66.76 RH, 0.9391 bar

[ 22:41:27 ]EEEE :33 [°C], 63.02 RH, 0.9403 bar

[ 22:41:27 ]DAD1 :30 [°C], 66.76 RH, 0.9391 bar

[ 22:41:27 ]CECE :30 [°C], 68.52 RH, 0.9391 bar

[ 22:41:27 ]CCCC :30 [°C], 65.66 RH, 0.9403 bar

[ 22:41:27 ]BEB2 :28 [°C], 75.23 RH, 0.9397 bar

[ 22:41:30 ]EEEE :33 [°C], 62.95 RH, 0.9403 bar

[ 22:41:30 ]BEB2 :28 [°C], 75.21 RH, 0.9397 bar

[ 22:41:30 ]CECE :30 [°C], 68.49 RH, 0.9403 bar

[ 22:41:31 ]DAD1 :30 [°C], 66.73 RH, 0.9403 bar

[ 22:41:33 ]CECE :30 [°C], 68.42 RH, 0.9397 bar

[ 22:41:33 ]CCCC :30 [°C], 65.56 RH, 0.9391 bar

[ 22:41:33 ]BEB2 :28 [°C], 75.18 RH, 0.9397 bar

[ 22:41:33 ]EEEE :33 [°C], 62.89 RH, 0.9403 bar

[ 22:41:33 ]DAD1 :30 [°C], 66.68 RH, 0.9410 bar

[ 22:41:36 ]CCCC :30 [°C], 65.56 RH, 0.9403 bar

[ 22:41:36 ]BEB2 :28 [°C], 75.08 RH, 0.9397 bar

[ 22:41:36 ]DAD1 :30 [°C], 66.65 RH, 0.9397 bar

[ 22:41:36 ]EEEE :33 [°C], 62.83 RH, 0.9378 bar

[ 22:41:39 ]EEEE :33 [°C], 62.80 RH, 0.9403 bar

[ 22:41:39 ]CECE :31 [°C], 68.42 RH, 0.9397 bar

[ 22:41:39 ]DAD1 :30 [°C], 66.59 RH, 0.9403 bar

[ 22:41:39 ]CCCC :30 [°C], 65.50 RH, 0.9410 bar

[ 22:41:39 ]BEB2 :28 [°C], 75.11 RH, 0.9397 bar

[ 22:41:42 ]BEB2 :28 [°C], 75.05 RH, 0.9397 bar

[ 22:41:42 ]CECE :31 [°C], 68.42 RH, 0.9397 bar

[ 22:41:42 ]CCCC :30 [°C], 65.45 RH, 0.9410 bar

[ 22:41:43 ]EEEE :33 [°C], 62.78 RH, 0.9403 bar

[ 22:41:43 ]DAD1 :30 [°C], 66.50 RH, 0.9410 bar

[ 22:41:45 ]EEEE :33 [°C], 62.66 RH, 0.9391 bar

[ 22:41:45 ]BEB2 :28 [°C], 75.05 RH, 0.9397 bar

[ 22:41:45 ]CECE :31 [°C], 68.42 RH, 0.9397 bar

[ 22:41:46 ]DAD1 :30 [°C], 66.45 RH, 0.9391 bar

[ 22:41:46 ]CCCC :31 [°C], 65.33 RH, 0.9403 bar

